; CSV, generated by DSView, sampled on 2025-08-30 21:34:11
; Channels (3/16)
; Sample rate: 100 MHz
; Sample count: 2.896 M Samples
Time(s), 0, 1, 2
4.615e-05,1,0,0
4.62e-05,0,0,0
4.635e-05,1,0,0
4.639e-05,0,0,0
4.655e-05,1,0,0
4.659e-05,0,0,0
4.674e-05,1,0,0
4.679e-05,0,0,0
4.694e-05,1,0,0
4.699e-05,0,0,0
4.715e-05,1,0,0
4.719e-05,0,0,0
4.735e-05,1,0,0
4.739e-05,0,0,0
4.754e-05,1,0,0
4.759e-05,0,0,0
4.775e-05,1,0,0
4.779e-05,0,0,0
4.795e-05,1,0,0
4.8e-05,0,0,0
4.815e-05,1,0,0
4.82e-05,0,0,0
4.835e-05,1,0,0
4.84e-05,0,0,0
4.855e-05,1,0,0
4.86e-05,0,0,0
4.875e-05,1,0,0
4.879e-05,0,0,0
4.894e-05,1,0,0
4.899e-05,0,0,0
4.915e-05,1,0,0
4.919e-05,0,0,0
4.935e-05,1,0,0
4.939e-05,0,0,0
4.955e-05,1,0,0
4.96e-05,0,0,0
4.975e-05,1,0,0
4.98e-05,0,0,0
4.995e-05,1,0,0
5e-05,0,0,0
5.015e-05,1,0,0
5.02e-05,0,0,0
5.034e-05,1,0,0
5.039e-05,0,0,0
5.055e-05,1,0,0
5.059e-05,0,0,0
5.075e-05,1,0,0
5.079e-05,0,0,0
5.094e-05,1,0,0
5.099e-05,0,0,0
5.114e-05,1,0,0
5.119e-05,0,0,0
5.135e-05,1,0,0
5.139e-05,0,0,0
5.154e-05,1,0,0
5.159e-05,0,0,0
5.175e-05,1,0,0
5.179e-05,0,0,0
5.195e-05,1,0,0
5.199e-05,0,0,0
5.215e-05,1,0,0
5.22e-05,0,0,0
5.235e-05,1,0,0
5.24e-05,0,0,0
5.255e-05,1,0,0
5.259e-05,0,0,0
5.274e-05,1,0,0
5.279e-05,0,0,0
5.294e-05,1,0,0
5.299e-05,0,0,0
5.314e-05,1,0,0
5.319e-05,0,0,0
5.335e-05,1,0,0
5.339e-05,0,0,0
5.355e-05,1,0,0
5.359e-05,0,0,0
5.375e-05,1,0,0
5.379e-05,0,0,0
5.394e-05,1,0,0
5.399e-05,0,0,0
5.415e-05,1,0,0
5.42e-05,0,0,0
5.435e-05,1,0,0
5.439e-05,0,0,0
5.455e-05,1,0,0
5.459e-05,0,0,0
5.475e-05,1,0,0
5.479e-05,0,0,0
5.495e-05,1,0,0
5.499e-05,0,0,0
5.515e-05,1,0,0
5.52e-05,0,0,0
5.535e-05,1,0,0
5.54e-05,0,0,0
5.554e-05,1,0,0
5.559e-05,0,0,0
5.575e-05,1,0,0
5.579e-05,0,0,0
5.595e-05,1,0,0
5.599e-05,0,0,0
5.615e-05,1,0,0
5.62e-05,0,0,0
5.635e-05,1,0,0
5.64e-05,0,0,0
5.655e-05,1,0,0
5.659e-05,0,0,0
5.675e-05,1,0,0
5.679e-05,0,0,0
5.694e-05,1,0,0
5.699e-05,0,0,0
5.715e-05,1,0,0
5.719e-05,0,0,0
5.735e-05,1,0,0
5.739e-05,0,0,0
5.755e-05,1,0,0
5.76e-05,0,0,0
5.775e-05,1,0,0
5.78e-05,0,0,0
5.795e-05,1,0,0
5.8e-05,0,0,0
5.815e-05,1,0,0
5.819e-05,0,0,0
5.835e-05,1,0,0
5.839e-05,0,0,0
5.855e-05,1,0,0
5.859e-05,0,0,0
5.875e-05,1,0,0
5.879e-05,0,0,0
5.895e-05,1,0,0
5.9e-05,0,0,0
5.915e-05,1,0,0
5.92e-05,0,0,0
5.935e-05,1,0,0
5.939e-05,0,0,0
5.954e-05,1,0,0
5.959e-05,0,0,0
5.975e-05,1,0,0
5.979e-05,0,0,0
5.995e-05,1,0,0
5.999e-05,0,0,0
6.015e-05,1,0,0
6.019e-05,0,0,0
6.035e-05,1,0,0
6.039e-05,0,0,0
6.055e-05,1,0,0
6.06e-05,0,0,0
6.075e-05,1,0,0
6.08e-05,0,0,0
6.095e-05,1,0,0
6.1e-05,0,0,0
6.115e-05,1,0,0
6.12e-05,0,0,0
6.135e-05,1,0,0
6.139e-05,0,0,0
6.155e-05,1,0,0
6.159e-05,0,0,0
6.175e-05,1,0,0
6.179e-05,0,0,0
6.195e-05,1,0,0
6.199e-05,0,0,0
6.215e-05,1,0,0
6.219e-05,0,0,0
6.235e-05,1,0,0
6.239e-05,0,0,0
6.255e-05,1,0,0
6.26e-05,0,0,0
6.275e-05,1,0,0
6.28e-05,0,0,0
6.295e-05,1,0,0
6.3e-05,0,0,0
6.315e-05,1,0,0
6.319e-05,0,0,0
6.335e-05,1,0,0
6.339e-05,0,0,0
6.355e-05,1,0,0
6.359e-05,0,0,0
6.375e-05,1,0,0
6.38e-05,0,0,0
6.395e-05,1,0,0
6.4e-05,0,0,0
6.416e-05,1,0,0
6.421e-05,0,0,0
6.435e-05,1,0,0
6.439e-05,0,0,0
6.455e-05,1,0,0
6.459e-05,0,0,0
6.475e-05,1,0,0
6.479e-05,0,0,0
6.495e-05,1,0,0
6.5e-05,0,0,0
6.515e-05,1,0,0
6.519e-05,0,0,0
6.535e-05,1,0,0
6.54e-05,0,0,0
6.555e-05,1,0,0
6.56e-05,0,0,0
6.575e-05,1,0,0
6.58e-05,0,0,0
6.595e-05,1,0,0
6.6e-05,0,0,0
6.615e-05,1,0,0
6.62e-05,0,0,0
6.635e-05,1,0,0
6.64e-05,0,0,0
6.655e-05,1,0,0
6.66e-05,0,0,0
6.675e-05,1,0,0
6.68e-05,0,0,0
6.695e-05,1,0,0
6.7e-05,0,0,0
6.715e-05,1,0,0
6.72e-05,0,0,0
6.735e-05,1,0,0
6.74e-05,0,0,0
6.755e-05,1,0,0
6.76e-05,0,0,0
6.775e-05,1,0,0
6.779e-05,0,0,0
6.795e-05,1,0,0
6.8e-05,0,0,0
6.815e-05,1,0,0
6.82e-05,0,0,0
